company_name,company_sector,peer_rank,peer_name,peer_sector,similarity_score
IDFCFIRSTB,Unknown,2,HDFCBANK,Unknown,0.9925
IDFCFIRSTB,Unknown,3,ULTRACEMCO,Unknown,0.9913
IDFCFIRSTB,Unknown,4,GRASIM,Unknown,0.9906
IDFCFIRSTB,Unknown,5,FEDERALBNK,Unknown,0.989
INDUSINDBK,Unknown,1,GRASIM,Unknown,0.9985
INDUSINDBK,Unknown,2,SBILIFE,Unknown,0.9895
INDUSINDBK,Unknown,3,ICICIGI,Unknown,0.9895
INDUSINDBK,Unknown,4,BANDHANBNK,Unknown,0.9895
INDUSINDBK,Unknown,5,RELAXO,Unknown,0.9895
PNB,Unknown,1,KOTAKBANK,Unknown,0.9997
PNB,Unknown,2,AXISBANK,Unknown,0.9987
PNB,Unknown,3,BANKBARODA,Unknown,0.9976
PNB,Unknown,4,ICICIBANK,Unknown,0.9952
PNB,Unknown,5,UNIONBANK,Unknown,0.9894
BANKBARODA,Unknown,1,PNB,Unknown,0.9976
BANKBARODA,Unknown,2,KOTAKBANK,Unknown,0.9959
BANKBARODA,Unknown,3,AXISBANK,Unknown,0.9928
BANKBARODA,Unknown,4,ICICIBANK,Unknown,0.9867
BANKBARODA,Unknown,5,FEDERALBNK,Unknown,0.9823
CANBK,Unknown,1,BAJFINANCE,Unknown,0.9997
CANBK,Unknown,2,TATACONSUM,Unknown,0.998
CANBK,Unknown,3,CHOLAFIN,Unknown,0.9903
CANBK,Unknown,4,CHOLAFIN,Unknown,0.9903
CANBK,Unknown,5,UNIONBANK,Unknown,0.9795
UNIONBANK,Unknown,1,ICICIBANK,Unknown,0.9983
UNIONBANK,Unknown,2,AXISBANK,Unknown,0.9953
UNIONBANK,Unknown,3,KOTAKBANK,Unknown,0.9915
UNIONBANK,Unknown,4,PNB,Unknown,0.9894
UNIONBANK,Unknown,5,MRF,Unknown,0.9825
NHPC,Unknown,1,SJVN,Unknown,0.9963
NHPC,Unknown,2,DIVISLAB,Unknown,0.9733
NHPC,Unknown,3,SUNPHARMA,Unknown,0.9662
NHPC,Unknown,4,SUNTV,Unknown,0.9576
NHPC,Unknown,5,POWERGRID,Unknown,0.9464
SJVN,Unknown,1,NHPC,Unknown,0.9963
SJVN,Unknown,2,DIVISLAB,Unknown,0.9892
SJVN,Unknown,3,SUNPHARMA,Unknown,0.9837
SJVN,Unknown,4,SUNTV,Unknown,0.9774
SJVN,Unknown,5,POWERGRID,Unknown,0.9686
TORNTPOWER,Unknown,1,NTPC,Unknown,0.9233
TORNTPOWER,Unknown,2,ONGC,Unknown,0.8936
TORNTPOWER,Unknown,3,TATAPOWER,Unknown,0.872
TORNTPOWER,Unknown,4,DABUR,Unknown,0.8229
TORNTPOWER,Unknown,5,NHPC,Unknown,0.7813
